candidate_id,name,years_experience,tech_skills,soft_skills,education_level,preferred_locations,salary_expectation,work_preference,industry_experience
C011,Candidate 11,10.4,"['Kubernetes', 'SQL', 'React', 'Data Analysis', 'DevOps', 'Docker', 'CI/CD', 'Python', 'GraphQL']","['Adaptability', 'Leadership', 'Time Management']",Bachelor,"['Tokyo', 'Berlin']",140213,Hybrid,"['Retail', 'Technology', 'Education']"
C012,Candidate 12,10.8,"['JavaScript', 'PostgreSQL', 'Data Analysis', 'SQL', 'Git', 'Java', 'MongoDB']","['Leadership', 'Adaptability', 'Teamwork', 'Critical Thinking', 'Problem Solving']",Master,"['New York', 'San Francisco', 'Tokyo']",139203,Office,"['Finance', 'Manufacturing']"
C013,Candidate 13,2.5,"['Java', 'Docker', 'JavaScript', 'MongoDB', 'Git']","['Critical Thinking', 'Time Management']",PhD,"['Remote', 'New York', 'Tokyo']",44409,Remote,"['Manufacturing', 'Education']"
C014,Candidate 14,17.0,"['SQL', 'React', 'PostgreSQL', 'Python', 'Node.js', 'DevOps', 'Java', 'REST API', 'Machine Learning', 'MongoDB']","['Leadership', 'Problem Solving', 'Critical Thinking']",Master,['Remote'],103670,Remote,['Education']
C015,Candidate 15,5.4,"['Docker', 'Data Analysis', 'Git', 'Kubernetes', 'React', 'Machine Learning', 'Java', 'REST API', 'SQL']","['Time Management', 'Communication', 'Adaptability', 'Creativity', 'Leadership']",PhD,['New York'],183540,Hybrid,"['Education', 'Healthcare', 'Retail']"
C016,Candidate 16,7.1,"['React', 'Docker', 'Node.js', 'Machine Learning', 'Kubernetes', 'MongoDB', 'PostgreSQL', 'SQL', 'Python', 'Java']","['Problem Solving', 'Creativity', 'Communication']",High School,"['Berlin', 'Remote', 'New York']",191224,Remote,"['Manufacturing', 'Retail', 'Technology']"
C017,Candidate 17,9.1,"['Machine Learning', 'React', 'CI/CD', 'AWS']","['Teamwork', 'Communication', 'Time Management', 'Creativity']",Bachelor,['New York'],183369,Remote,"['Healthcare', 'Retail']"
C018,Candidate 18,18.1,"['CI/CD', 'Machine Learning', 'Data Analysis']","['Leadership', 'Teamwork', 'Time Management', 'Critical Thinking']",Master,"['New York', 'Tokyo', 'San Francisco']",51023,Remote,['Finance']
C019,Candidate 19,14.3,"['DevOps', 'Python', 'CI/CD', 'Machine Learning', 'REST API', 'AWS']","['Creativity', 'Leadership', 'Time Management', 'Adaptability']",PhD,"['Berlin', 'Tokyo', 'New York']",124106,Remote,"['Technology', 'Retail', 'Education']"
C020,Candidate 20,2.4,"['Node.js', 'DevOps', 'CI/CD', 'Data Analysis', 'Git', 'GraphQL', 'AWS']","['Leadership', 'Problem Solving', 'Teamwork', 'Critical Thinking']",PhD,"['Berlin', 'London', 'Remote']",106203,Hybrid,"['Finance', 'Healthcare', 'Education']"
C021,Candidate 21,18.3,"['DevOps', 'GraphQL', 'React', 'Git', 'Docker', 'Java', 'PostgreSQL', 'Kubernetes', 'AWS', 'SQL']","['Teamwork', 'Creativity', 'Critical Thinking', 'Leadership']",Master,['London'],164267,Hybrid,"['Retail', 'Healthcare']"
C022,Candidate 22,12.4,"['MongoDB', 'Kubernetes', 'Node.js', 'SQL']","['Creativity', 'Critical Thinking', 'Time Management']",High School,"['San Francisco', 'Remote']",161337,Remote,"['Manufacturing', 'Technology']"
C023,Candidate 23,15.9,"['Kubernetes', 'GraphQL', 'Node.js', 'DevOps']","['Leadership', 'Adaptability', 'Teamwork']",PhD,['Tokyo'],162950,Hybrid,"['Technology', 'Finance']"
C024,Candidate 24,5.2,"['Python', 'JavaScript', 'Git', 'Java', 'AWS', 'React', 'Node.js', 'REST API', 'Machine Learning', 'SQL']","['Adaptability', 'Leadership']",High School,"['Tokyo', 'San Francisco', 'New York']",100992,Hybrid,"['Finance', 'Retail']"
C025,Candidate 25,13.8,"['DevOps', 'REST API', 'MongoDB', 'Docker', 'Data Analysis', 'Node.js']","['Creativity', 'Critical Thinking', 'Communication', 'Problem Solving']",High School,"['New York', 'Tokyo', 'San Francisco']",82768,Office,"['Technology', 'Healthcare', 'Manufacturing']"
C026,Candidate 26,14.1,"['React', 'SQL', 'Node.js', 'Python', 'MongoDB', 'JavaScript', 'Java']","['Critical Thinking', 'Leadership', 'Creativity', 'Adaptability', 'Time Management']",PhD,"['Tokyo', 'New York', 'San Francisco']",138315,Office,"['Technology', 'Education']"
C027,Candidate 27,19.5,"['AWS', 'Data Analysis', 'DevOps', 'Python']","['Creativity', 'Teamwork', 'Problem Solving', 'Leadership']",High School,"['Tokyo', 'New York', 'San Francisco']",70236,Hybrid,['Healthcare']
C028,Candidate 28,6.2,"['Machine Learning', 'Kubernetes', 'React', 'SQL', 'Node.js', 'DevOps', 'Python', 'Docker', 'GraphQL']","['Adaptability', 'Teamwork', 'Leadership']",Master,"['London', 'Tokyo']",137132,Office,"['Technology', 'Finance', 'Healthcare']"
C029,Candidate 29,3.4,"['Java', 'Machine Learning', 'Kubernetes']","['Leadership', 'Adaptability', 'Communication', 'Teamwork', 'Problem Solving']",High School,"['San Francisco', 'Berlin', 'Tokyo']",128152,Hybrid,['Education']
C030,Candidate 30,18.1,"['Machine Learning', 'Docker', 'SQL', 'AWS', 'CI/CD', 'PostgreSQL', 'GraphQL']","['Problem Solving', 'Critical Thinking', 'Adaptability', 'Creativity']",High School,"['Remote', 'Tokyo']",184768,Office,"['Retail', 'Finance', 'Manufacturing']"
C031,Candidate 31,15.4,"['Git', 'Machine Learning', 'REST API', 'React', 'Java', 'JavaScript', 'CI/CD']","['Critical Thinking', 'Teamwork', 'Leadership', 'Time Management', 'Creativity']",PhD,['San Francisco'],51434,Remote,['Finance']
C032,Candidate 32,1.6,"['Java', 'AWS', 'MongoDB']","['Problem Solving', 'Critical Thinking', 'Adaptability', 'Time Management', 'Leadership']",Bachelor,['Tokyo'],195513,Hybrid,"['Healthcare', 'Retail', 'Technology']"
C033,Candidate 33,12.5,"['Java', 'JavaScript', 'React', 'MongoDB', 'DevOps', 'Git', 'CI/CD']","['Problem Solving', 'Creativity', 'Critical Thinking']",PhD,['Remote'],159961,Office,"['Manufacturing', 'Technology']"
C034,Candidate 34,7.1,"['Git', 'Machine Learning', 'GraphQL', 'Kubernetes', 'Node.js']","['Critical Thinking', 'Communication', 'Problem Solving']",High School,"['Tokyo', 'Remote']",190211,Remote,"['Technology', 'Education', 'Retail']"
C035,Candidate 35,10.5,"['PostgreSQL', 'CI/CD', 'SQL', 'Machine Learning']","['Teamwork', 'Critical Thinking']",Bachelor,"['Berlin', 'New York', 'Remote']",90726,Office,['Education']
C036,Candidate 36,5.5,"['AWS', 'Docker', 'PostgreSQL', 'React']","['Teamwork', 'Time Management', 'Creativity']",Bachelor,"['Berlin', 'New York']",196478,Office,['Healthcare']
C037,Candidate 37,15.1,"['AWS', 'Python', 'Machine Learning']","['Problem Solving', 'Time Management', 'Communication']",Bachelor,"['Remote', 'New York']",89619,Remote,"['Manufacturing', 'Technology', 'Retail']"
C038,Candidate 38,4.3,"['Data Analysis', 'SQL', 'GraphQL']","['Critical Thinking', 'Teamwork', 'Problem Solving']",Bachelor,"['London', 'Tokyo', 'Berlin']",194380,Remote,"['Finance', 'Technology']"
C039,Candidate 39,19.6,"['Kubernetes', 'JavaScript', 'Git', 'Python', 'DevOps']","['Critical Thinking', 'Teamwork', 'Creativity', 'Communication']",Bachelor,"['San Francisco', 'New York']",156868,Office,['Technology']
C040,Candidate 40,2.7,"['Machine Learning', 'Data Analysis', 'React']","['Teamwork', 'Creativity']",PhD,"['San Francisco', 'London']",100383,Office,"['Finance', 'Healthcare']"
C041,Candidate 41,9.3,"['Docker', 'Python', 'CI/CD', 'Git', 'GraphQL', 'SQL', 'Node.js', 'Java', 'DevOps']","['Time Management', 'Critical Thinking']",High School,"['Tokyo', 'London']",96162,Office,"['Retail', 'Finance']"
C042,Candidate 42,10.6,"['Machine Learning', 'CI/CD', 'GraphQL', 'Data Analysis', 'Java', 'React']","['Communication', 'Leadership', 'Teamwork']",Master,"['Berlin', 'New York', 'Remote']",52355,Hybrid,"['Education', 'Manufacturing']"
C043,Candidate 43,0.2,"['React', 'REST API', 'Kubernetes', 'DevOps', 'Node.js', 'MongoDB']","['Adaptability', 'Time Management', 'Teamwork']",Master,['New York'],90028,Remote,['Manufacturing']
C044,Candidate 44,16.8,"['SQL', 'AWS', 'Java', 'JavaScript', 'REST API', 'Python', 'MongoDB', 'Docker', 'Data Analysis']","['Adaptability', 'Problem Solving', 'Critical Thinking', 'Communication', 'Leadership']",High School,"['Berlin', 'New York', 'Remote']",192192,Remote,['Retail']
C045,Candidate 45,10.5,"['Git', 'Node.js', 'Data Analysis', 'JavaScript', 'REST API', 'Docker', 'MongoDB', 'PostgreSQL', 'GraphQL', 'Kubernetes']","['Time Management', 'Problem Solving', 'Leadership']",Bachelor,"['Remote', 'London', 'San Francisco']",173724,Office,"['Healthcare', 'Education', 'Finance']"
C046,Candidate 46,7.6,"['Python', 'PostgreSQL', 'Java']","['Teamwork', 'Critical Thinking']",High School,['Berlin'],122635,Hybrid,['Healthcare']
C047,Candidate 47,12.3,"['Data Analysis', 'React', 'Node.js', 'MongoDB', 'REST API', 'Java', 'Kubernetes', 'Machine Learning']","['Communication', 'Leadership', 'Creativity', 'Time Management', 'Problem Solving']",PhD,"['San Francisco', 'New York']",124463,Hybrid,"['Finance', 'Retail']"
C048,Candidate 48,8.3,"['Machine Learning', 'React', 'CI/CD', 'DevOps', 'SQL', 'JavaScript']","['Time Management', 'Teamwork', 'Leadership', 'Creativity', 'Adaptability']",High School,"['Tokyo', 'New York']",79502,Office,['Finance']
C049,Candidate 49,8.3,"['GraphQL', 'MongoDB', 'JavaScript', 'DevOps', 'Kubernetes', 'Data Analysis']","['Teamwork', 'Problem Solving']",Master,"['San Francisco', 'London']",113244,Remote,"['Retail', 'Finance']"
C050,Candidate 50,16.6,"['SQL', 'GraphQL', 'Docker', 'Data Analysis']","['Adaptability', 'Teamwork', 'Problem Solving', 'Critical Thinking', 'Creativity']",High School,"['New York', 'London', 'Remote']",189685,Hybrid,['Education']
C051,Candidate 51,12.4,"['PostgreSQL', 'REST API', 'DevOps', 'React', 'Java', 'MongoDB', 'Data Analysis', 'Docker', 'Kubernetes']","['Leadership', 'Creativity', 'Adaptability']",Master,"['New York', 'Remote']",119949,Office,['Healthcare']
C052,Candidate 52,7.5,"['React', 'Python', 'GraphQL', 'CI/CD', 'DevOps', 'REST API', 'MongoDB', 'Java', 'Data Analysis']","['Time Management', 'Creativity', 'Communication', 'Critical Thinking']",High School,['Tokyo'],105809,Office,['Retail']
C053,Candidate 53,11.9,"['MongoDB', 'SQL', 'Node.js', 'React', 'DevOps']","['Adaptability', 'Problem Solving', 'Communication']",Bachelor,"['Tokyo', 'San Francisco', 'New York']",156310,Office,"['Manufacturing', 'Technology', 'Education']"
C054,Candidate 54,15.6,"['PostgreSQL', 'AWS', 'JavaScript', 'Data Analysis', 'Python', 'React']","['Leadership', 'Adaptability', 'Teamwork', 'Creativity', 'Time Management']",Bachelor,"['Berlin', 'Tokyo']",91800,Office,"['Education', 'Healthcare']"
C055,Candidate 55,10.4,"['PostgreSQL', 'Node.js', 'Data Analysis', 'Java']","['Time Management', 'Adaptability', 'Creativity']",PhD,"['New York', 'Tokyo']",68256,Remote,['Manufacturing']
C056,Candidate 56,18.4,"['JavaScript', 'Java', 'Python', 'MongoDB', 'Data Analysis', 'REST API']","['Communication', 'Leadership']",Bachelor,['New York'],186651,Hybrid,['Retail']
C057,Candidate 57,4.1,"['AWS', 'Docker', 'PostgreSQL', 'Machine Learning']","['Creativity', 'Time Management', 'Teamwork', 'Critical Thinking', 'Adaptability']",Master,['Berlin'],53375,Office,['Healthcare']
C058,Candidate 58,12.0,"['Python', 'Machine Learning', 'GraphQL', 'AWS', 'Java']","['Communication', 'Problem Solving', 'Time Management', 'Adaptability', 'Teamwork']",Bachelor,"['Remote', 'London']",139621,Remote,['Manufacturing']
C059,Candidate 59,12.8,"['Node.js', 'Java', 'MongoDB', 'PostgreSQL', 'SQL', 'GraphQL', 'AWS']","['Teamwork', 'Communication', 'Creativity', 'Adaptability', 'Problem Solving']",PhD,"['Tokyo', 'Remote']",130507,Remote,"['Manufacturing', 'Education', 'Retail']"
C060,Candidate 60,1.9,"['Docker', 'Git', 'AWS', 'Machine Learning', 'React', 'JavaScript', 'Java', 'GraphQL', 'CI/CD', 'PostgreSQL']","['Critical Thinking', 'Teamwork', 'Communication', 'Adaptability']",Bachelor,['San Francisco'],132073,Office,"['Manufacturing', 'Retail']"
C061,Candidate 61,17.3,"['GraphQL', 'SQL', 'Java', 'Git']","['Communication', 'Leadership']",Bachelor,['London'],134272,Hybrid,"['Manufacturing', 'Technology']"
C062,Candidate 62,7.1,"['MongoDB', 'Docker', 'Kubernetes', 'Machine Learning', 'AWS', 'DevOps', 'Java', 'SQL', 'PostgreSQL', 'Python']","['Communication', 'Problem Solving', 'Teamwork', 'Adaptability', 'Time Management']",Bachelor,['Berlin'],112877,Remote,['Education']
C063,Candidate 63,10.7,"['REST API', 'Python', 'Data Analysis', 'PostgreSQL', 'Git', 'Docker', 'JavaScript', 'Machine Learning', 'Node.js', 'React']","['Problem Solving', 'Creativity', 'Adaptability', 'Leadership', 'Critical Thinking']",Bachelor,"['San Francisco', 'London', 'Remote']",98976,Remote,['Healthcare']
C064,Candidate 64,2.5,"['Kubernetes', 'MongoDB', 'Java', 'PostgreSQL', 'DevOps', 'JavaScript', 'Machine Learning']","['Problem Solving', 'Time Management', 'Leadership', 'Adaptability', 'Critical Thinking']",PhD,"['Tokyo', 'Remote']",123472,Hybrid,['Education']
C065,Candidate 65,11.3,"['REST API', 'React', 'CI/CD', 'SQL', 'Data Analysis']","['Critical Thinking', 'Communication', 'Problem Solving', 'Time Management']",Bachelor,['Remote'],115396,Remote,"['Healthcare', 'Education', 'Retail']"
C066,Candidate 66,5.7,"['Java', 'CI/CD', 'Docker']","['Communication', 'Time Management', 'Teamwork', 'Problem Solving', 'Critical Thinking']",High School,['New York'],196004,Remote,"['Technology', 'Retail', 'Education']"
C067,Candidate 67,9.0,"['Kubernetes', 'Node.js', 'JavaScript', 'Docker', 'PostgreSQL', 'GraphQL']","['Communication', 'Leadership']",Master,['Remote'],154006,Hybrid,"['Retail', 'Manufacturing']"
C068,Candidate 68,19.3,"['Data Analysis', 'PostgreSQL', 'AWS', 'REST API', 'Docker', 'GraphQL', 'Node.js', 'CI/CD', 'Python', 'Kubernetes']","['Adaptability', 'Problem Solving', 'Teamwork', 'Time Management', 'Leadership']",Master,"['Tokyo', 'Remote']",172179,Office,"['Finance', 'Healthcare']"
C069,Candidate 69,1.1,"['PostgreSQL', 'Node.js', 'Docker', 'Machine Learning', 'JavaScript', 'AWS', 'Python', 'GraphQL', 'Data Analysis', 'REST API']","['Teamwork', 'Communication', 'Adaptability', 'Leadership', 'Critical Thinking']",Master,"['San Francisco', 'Berlin']",157590,Office,"['Retail', 'Technology', 'Education']"
C070,Candidate 70,17.4,"['PostgreSQL', 'DevOps', 'Git', 'Node.js']","['Communication', 'Critical Thinking']",PhD,['Remote'],79826,Office,"['Technology', 'Finance']"
C071,Candidate 71,14.9,"['Data Analysis', 'Java', 'MongoDB', 'JavaScript', 'Git', 'PostgreSQL', 'Machine Learning', 'React', 'Node.js']","['Adaptability', 'Creativity']",High School,['New York'],119028,Office,"['Retail', 'Technology', 'Manufacturing']"
C072,Candidate 72,2.9,"['Docker', 'DevOps', 'SQL', 'Kubernetes', 'CI/CD', 'MongoDB']","['Communication', 'Creativity', 'Teamwork', 'Critical Thinking']",PhD,['Tokyo'],59155,Remote,['Education']
C073,Candidate 73,16.0,"['CI/CD', 'JavaScript', 'Kubernetes', 'Java', 'Python', 'REST API', 'React', 'SQL', 'GraphQL', 'Docker']","['Leadership', 'Problem Solving', 'Time Management']",PhD,['Remote'],110847,Hybrid,['Finance']
C074,Candidate 74,8.9,"['Python', 'REST API', 'AWS', 'MongoDB', 'Data Analysis']","['Leadership', 'Critical Thinking', 'Problem Solving', 'Teamwork', 'Adaptability']",High School,"['Tokyo', 'San Francisco']",55959,Remote,"['Retail', 'Technology']"
C075,Candidate 75,15.0,"['Python', 'AWS', 'Node.js', 'SQL', 'MongoDB']","['Creativity', 'Time Management', 'Teamwork', 'Communication', 'Critical Thinking']",Bachelor,"['New York', 'Remote', 'Berlin']",42240,Office,"['Education', 'Finance', 'Retail']"
C076,Candidate 76,5.1,"['Data Analysis', 'Node.js', 'Java', 'GraphQL']","['Critical Thinking', 'Creativity', 'Communication', 'Teamwork', 'Leadership']",High School,"['Berlin', 'New York']",107616,Remote,['Manufacturing']
C077,Candidate 77,4.4,"['GraphQL', 'PostgreSQL', 'Java', 'REST API', 'Node.js']","['Critical Thinking', 'Leadership', 'Adaptability']",PhD,"['Tokyo', 'San Francisco', 'New York']",108565,Office,"['Education', 'Manufacturing']"
C078,Candidate 78,3.2,"['Kubernetes', 'Git', 'Node.js', 'CI/CD', 'Java', 'SQL']","['Teamwork', 'Time Management', 'Leadership']",High School,"['Berlin', 'Remote', 'New York']",84108,Office,['Manufacturing']
C079,Candidate 79,6.2,"['PostgreSQL', 'REST API', 'Git', 'SQL']","['Leadership', 'Adaptability', 'Critical Thinking', 'Teamwork']",PhD,"['Tokyo', 'San Francisco']",82653,Hybrid,"['Retail', 'Manufacturing', 'Technology']"
C080,Candidate 80,3.8,"['AWS', 'SQL', 'REST API', 'Machine Learning', 'Git']","['Creativity', 'Teamwork', 'Time Management', 'Critical Thinking']",PhD,['Tokyo'],180855,Remote,"['Retail', 'Finance']"
C081,Candidate 81,9.2,"['JavaScript', 'Docker', 'SQL', 'DevOps', 'AWS', 'CI/CD', 'Data Analysis', 'Node.js', 'Python', 'PostgreSQL']","['Problem Solving', 'Critical Thinking']",Bachelor,"['New York', 'Tokyo', 'London']",172510,Hybrid,"['Finance', 'Education']"
C082,Candidate 82,5.5,"['CI/CD', 'PostgreSQL', 'Docker', 'Data Analysis', 'Machine Learning', 'SQL']","['Teamwork', 'Leadership']",Bachelor,"['Tokyo', 'New York']",64343,Hybrid,"['Education', 'Retail']"
C083,Candidate 83,18.3,"['REST API', 'Node.js', 'PostgreSQL', 'Git', 'AWS', 'JavaScript', 'Java', 'Machine Learning', 'Kubernetes', 'React']","['Time Management', 'Critical Thinking', 'Communication', 'Creativity']",Master,['Tokyo'],120457,Remote,['Finance']
C084,Candidate 84,16.8,"['MongoDB', 'SQL', 'Data Analysis', 'Kubernetes', 'JavaScript']","['Communication', 'Time Management', 'Adaptability', 'Teamwork']",Master,"['Berlin', 'Remote']",188404,Office,"['Education', 'Healthcare', 'Finance']"
C085,Candidate 85,18.8,"['PostgreSQL', 'AWS', 'JavaScript']","['Time Management', 'Problem Solving']",Bachelor,['New York'],116493,Office,['Healthcare']
C086,Candidate 86,16.3,"['Java', 'REST API', 'MongoDB', 'Data Analysis']","['Teamwork', 'Time Management']",Bachelor,"['London', 'Remote']",91466,Hybrid,['Healthcare']
C087,Candidate 87,19.0,"['REST API', 'CI/CD', 'Machine Learning']","['Problem Solving', 'Adaptability', 'Leadership', 'Teamwork', 'Communication']",Bachelor,['New York'],43308,Hybrid,"['Education', 'Manufacturing']"
C088,Candidate 88,7.9,"['GraphQL', 'DevOps', 'AWS', 'REST API', 'Docker']","['Leadership', 'Communication', 'Critical Thinking', 'Adaptability', 'Teamwork']",Master,"['London', 'San Francisco', 'Berlin']",139087,Hybrid,['Retail']
C089,Candidate 89,5.4,"['Docker', 'JavaScript', 'Java', 'React', 'Python']","['Communication', 'Creativity']",PhD,"['Berlin', 'Tokyo']",132125,Office,"['Healthcare', 'Technology']"
C090,Candidate 90,3.5,"['Kubernetes', 'Python', 'AWS', 'SQL', 'MongoDB', 'GraphQL']","['Time Management', 'Problem Solving']",High School,"['London', 'New York', 'San Francisco']",73066,Remote,"['Technology', 'Manufacturing']"
C091,Candidate 91,16.5,"['React', 'Kubernetes', 'JavaScript', 'MongoDB', 'Git', 'Docker', 'REST API']","['Communication', 'Critical Thinking', 'Leadership', 'Adaptability']",Bachelor,['San Francisco'],122950,Office,"['Retail', 'Technology', 'Manufacturing']"
C092,Candidate 92,10.6,"['AWS', 'DevOps', 'Python', 'CI/CD', 'GraphQL', 'Git', 'Data Analysis', 'MongoDB', 'Machine Learning', 'Node.js']","['Time Management', 'Critical Thinking', 'Communication', 'Problem Solving', 'Leadership']",High School,"['Remote', 'Tokyo', 'San Francisco']",183873,Remote,"['Education', 'Healthcare', 'Finance']"
C093,Candidate 93,3.8,"['Java', 'Docker', 'Node.js', 'Machine Learning', 'AWS', 'SQL', 'Data Analysis', 'GraphQL']","['Communication', 'Leadership', 'Problem Solving', 'Teamwork', 'Creativity']",High School,"['San Francisco', 'Tokyo', 'Berlin']",124062,Remote,"['Technology', 'Healthcare', 'Education']"
C094,Candidate 94,5.9,"['Git', 'Docker', 'Machine Learning', 'Python', 'DevOps', 'GraphQL', 'MongoDB', 'React', 'Kubernetes', 'CI/CD']","['Critical Thinking', 'Communication', 'Time Management', 'Creativity']",PhD,"['London', 'Tokyo', 'Berlin']",95919,Office,"['Retail', 'Technology', 'Healthcare']"
C095,Candidate 95,12.9,"['Git', 'Kubernetes', 'JavaScript']","['Communication', 'Time Management']",High School,['Tokyo'],48213,Remote,"['Education', 'Retail', 'Finance']"
C096,Candidate 96,9.9,"['Node.js', 'Machine Learning', 'React', 'AWS', 'Java', 'Docker', 'GraphQL', 'Data Analysis', 'JavaScript']","['Leadership', 'Critical Thinking', 'Time Management', 'Teamwork', 'Communication']",High School,['London'],85794,Hybrid,"['Technology', 'Retail', 'Finance']"
C097,Candidate 97,15.4,"['Kubernetes', 'Docker', 'Data Analysis', 'SQL', 'Node.js', 'DevOps']","['Leadership', 'Communication', 'Problem Solving', 'Time Management']",Master,"['London', 'San Francisco']",167437,Office,"['Education', 'Manufacturing']"
C098,Candidate 98,15.1,"['Data Analysis', 'Node.js', 'REST API', 'Kubernetes', 'PostgreSQL', 'React']","['Critical Thinking', 'Time Management', 'Communication', 'Problem Solving']",High School,"['Tokyo', 'Remote']",102376,Remote,"['Finance', 'Manufacturing', 'Healthcare']"
C099,Candidate 99,7.3,"['SQL', 'CI/CD', 'Python', 'REST API', 'JavaScript', 'AWS', 'Docker']","['Critical Thinking', 'Teamwork', 'Communication']",PhD,['London'],50415,Remote,['Retail']
C100,Candidate 100,17.6,"['JavaScript', 'SQL', 'Node.js', 'MongoDB', 'DevOps', 'Kubernetes', 'PostgreSQL', 'Java', 'GraphQL']","['Creativity', 'Communication', 'Leadership', 'Adaptability']",PhD,"['Remote', 'New York']",141900,Office,"['Retail', 'Technology']"
